Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct
2023-2024,Lithium (Carbonate),28369100,Import,BELGIUM,4.66,166860.0,18.927701056051994
2023-2024,Lithium (Carbonate),28369100,Import,BRAZIL,1.73,28600.0,7.0268074735987005
2023-2024,Lithium (Carbonate),28369100,Import,CHILE,0.37,13600.0,1.502843216896832
2023-2024,Lithium (Carbonate),28369100,Import,CHINA P RP,3.96,126032.0,16.084484159220146
2023-2024,Lithium (Carbonate),28369100,Import,GERMANY,1.62,38010.0,6.580016246953697
2023-2024,Lithium (Carbonate),28369100,Import,HONG KONG,0.0,1.0,0.0
2023-2024,Lithium (Carbonate),28369100,Import,IRELAND,0.23,400000.0,0.9341998375304632
2023-2024,Lithium (Carbonate),28369100,Import,JAPAN,0.04,380.0,0.16246953696181968
2023-2024,Lithium (Carbonate),28369100,Import,NETHERLAND,0.12,200000.0,0.487408610885459
2023-2024,Lithium (Carbonate),28369100,Import,SINGAPORE,0.02,300.0,0.08123476848090984
2023-2024,Lithium (Carbonate),28369100,Import,SLOVENIA,1.1,5000.0,4.467912266450042
2023-2024,Lithium (Carbonate),28369100,Import,U K,0.73,20000.0,2.9650690495532093
2023-2024,Lithium (Carbonate),28369100,Import,U S A,6.26,52300.0,25.42648253452478
2024-2025,Lithium (Carbonate),28369100,Import,ARGENTINA,,,
2024-2025,Lithium (Carbonate),28369100,Import,BELGIUM,0.98,75600.0,7.980456026058631
2024-2025,Lithium (Carbonate),28369100,Import,BRAZIL,0.02,300.0,0.16286644951140064
2024-2025,Lithium (Carbonate),28369100,Import,CANADA,0.72,8000.0,5.8631921824104225
2024-2025,Lithium (Carbonate),28369100,Import,CHILE,1.61,147000.0,13.110749185667753
2024-2025,Lithium (Carbonate),28369100,Import,CHINA P RP,3.26,222552.0,26.547231270358303
2024-2025,Lithium (Carbonate),28369100,Import,GERMANY,1.11,88665.0,9.039087947882736
2024-2025,Lithium (Carbonate),28369100,Import,HONG KONG,0.0,1.0,0.0
2024-2025,Lithium (Carbonate),28369100,Import,IRELAND,0.22,400000.0,1.7915309446254069
2024-2025,Lithium (Carbonate),28369100,Import,ITALY,0.01,500.0,0.08143322475570032
2024-2025,Lithium (Carbonate),28369100,Import,JAPAN,0.07,1379.0,0.5700325732899023
2024-2025,Lithium (Carbonate),28369100,Import,NETHERLAND,,,
2024-2025,Lithium (Carbonate),28369100,Import,SINGAPORE,,,
2024-2025,Lithium (Carbonate),28369100,Import,SLOVENIA,,,
2024-2025,Lithium (Carbonate),28369100,Import,THAILAND,0.02,200.0,0.16286644951140064
2024-2025,Lithium (Carbonate),28369100,Import,U ARAB EMTS,0.0,41.0,0.0
2024-2025,Lithium (Carbonate),28369100,Import,U K,0.29,20000.0,2.361563517915309
2024-2025,Lithium (Carbonate),28369100,Import,U S A,3.97,42456.0,32.328990228013026
2024-2025,Lithium (Carbonate),28369100,Import,ZIMBABWE,0.0,145.0,0.0
