Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct,Unit_Price,Country_Risk_Raw,Strategic_Vulnerability_Score,Anomaly_Flag,HHI_Risk_Score
2023-2024,Copper,26030000,Import,PHILIPPINES,140.41,30590856.0,4.481346606196201,4.589933671682806e-06,6.5,2.9128752940275304,1,2128.5687245437975
2023-2024,Copper,26030000,Import,SOUTH AFRICA,0.86,225000.0,0.0274478889062654,3.8222222222222224e-06,6.0,0.01646873334375924,1,2128.5687245437975
2023-2024,Copper,26030000,Import,TAIWAN,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2023-2024,Copper,26030000,Import,TANZANIA REP,72.99,8700619.0,2.329559780544553,8.389058295737348e-06,6.5,1.5142138573539596,1,2128.5687245437975
2023-2024,Copper,26030000,Import,TURKEY,0.0,1.0,,0.0,6.2,0.0,1,2128.5687245437975
2023-2024,Copper,26030000,Import,VIETNAM SOC REP,0.0,1.0,,0.0,5.2,0.0,1,2128.5687245437975
2023-2024,Copper,26030000,Import,ZAMBIA,0.0,37.0,0.0,0.0,6.8,0.0,1,2128.5687245437975
2024-2025,Copper,26030000,Import,AUSTRALIA,669.63,156092506.0,17.400218272528843,4.289956111025599e-06,1.6,2.784034923604615,1,2128.5687245437975
2024-2025,Copper,26030000,Import,BRAZIL,22.16,9132930.0,0.5758237189481343,2.426384522820168e-06,5.7,0.3282195198004366,1,2128.5687245437975
2024-2025,Copper,26030000,Import,CANADA,207.8,59128494.0,5.399646606381873,3.514380055071249e-06,1.5,0.8099469909572811,1,2128.5687245437975
2024-2025,Copper,26030000,Import,CHILE,1366.14,554056770.0,35.49890863735578,2.465704010800193e-06,3.1,11.004661677580293,-1,2128.5687245437975
2024-2025,Copper,26030000,Import,COLOMBIA,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2024-2025,Copper,26030000,Import,FRANCE,0.0,43.0,0.0,0.0,2.3,0.0,1,2128.5687245437975
2024-2025,Copper,26030000,Import,INDONESIA,727.89,166114598.0,18.9140941690053,4.3818545074527406e-06,5.4,10.213610851262862,-1,2128.5687245437975
2024-2025,Copper,26030000,Import,MALAYSIA,0.0,1.0,,0.0,4.5,0.0,1,2128.5687245437975
2024-2025,Copper,26030000,Import,MOROCCO,0.0,1.0,,0.0,5.7,0.0,1,2128.5687245437975
2024-2025,Copper,26030000,Import,MOZAMBIQUE,0.07,26400.0,0.0018189377403596,2.651515151515152e-06,7.8,0.0014187714374804881,1,2128.5687245437975
2024-2025,Copper,26030000,Import,NAMIBIA,37.79,13719650.0,0.9819665315455772,2.75444344425696e-06,5.2,0.5106225964037001,1,2128.5687245437975
2024-2025,Copper,26030000,Import,PANAMA REPUBLIC,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2024-2025,Copper,26030000,Import,PAPUA N GNA,74.94,19740240.0,1.947302775179295,3.7963064278853753e-06,5.5,1.0710165263486124,1,2128.5687245437975
2024-2025,Copper,26030000,Import,PERU,424.2,159608912.0,11.022762706579355,2.657746329352837e-06,5.7,6.282974742750232,1,2128.5687245437975
2024-2025,Copper,26030000,Import,PHILIPPINES,0.03,59370.0,0.0007795447458684,5.053057099545225e-07,6.5,0.00050670408481446,1,2128.5687245437975
