Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct
2024-2025,Copper,26030000,Import,MOZAMBIQUE,0.07,26400.0,0.00181893774035963
2024-2025,Copper,26030000,Import,NAMIBIA,37.79,13719650.0,0.9819665315455772
2024-2025,Copper,26030000,Import,PANAMA REPUBLIC,,,
2024-2025,Copper,26030000,Import,PAPUA N GNA,74.94,19740240.0,1.947302775179295
2024-2025,Copper,26030000,Import,PERU,424.2,159608912.0,11.022762706579357
2024-2025,Copper,26030000,Import,PHILIPPINES,0.03,59370.0,0.0007795447458684128
2024-2025,Copper,26030000,Import,SOUTH AFRICA,,,
2024-2025,Copper,26030000,Import,TANZANIA REP,274.5,32818151.0,7.132834424695977
2024-2025,Copper,26030000,Import,U S A,43.25,5093651.0,1.1238436752936285
2024-2025,Copper,26030000,Import,ZAMBIA,0.0,90.0,0.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.01,13407.0,0.03289473684210527
2018-2019,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.02,16000.0,0.06578947368421054
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,18000.0,0.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.03,2340.0,0.09868421052631579
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,0.0,20000.0,0.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,,,
2018-2019,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.0,10.0,0.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,18.83,13389116.0,61.94078947368421
2018-2019,Graphite-ArtificialGraphite,38011000,Import,DENMARK,,,
2018-2019,Graphite-ArtificialGraphite,38011000,Import,EGYPT A RP,0.0,15.0,0.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,FRANCE,0.56,70604.0,1.842105263157895
2018-2019,Graphite-ArtificialGraphite,38011000,Import,GERMANY,1.35,365881.0,4.4407894736842115
2018-2019,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.1,142023.0,0.32894736842105265
2018-2019,Graphite-ArtificialGraphite,38011000,Import,INDONESIA,0.01,25000.0,0.03289473684210527
2018-2019,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.09,20346.0,0.2960526315789474
2018-2019,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.91,406795.0,9.572368421052632
2018-2019,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.08,6997.0,0.26315789473684215
2018-2019,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.94,1634022.0,3.0921052631578947
2018-2019,Graphite-ArtificialGraphite,38011000,Import,MEXICO,0.0,249.0,0.0
2018-2019,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.07,12930.0,0.23026315789473686
2018-2019,Graphite-ArtificialGraphite,38011000,Import,NORWAY,2.39,2846000.0,7.861842105263158
2018-2019,Graphite-ArtificialGraphite,38011000,Import,OMAN,0.07,251966.0,0.23026315789473686
2018-2019,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.42,571000.0,1.381578947368421
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,0.08,140000.0,0.26315789473684215
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SPAIN,,,
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.05,16001.0,0.16447368421052633
2018-2019,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.46,82985.0,1.5131578947368423
2018-2019,Graphite-ArtificialGraphite,38011000,Import,THAILAND,0.03,22900.0,0.09868421052631579
2018-2019,Graphite-ArtificialGraphite,38011000,Import,U ARAB EMTS,0.02,7250.0,0.06578947368421054
2018-2019,Graphite-ArtificialGraphite,38011000,Import,U K,0.03,18410.0,0.09868421052631579
2018-2019,Graphite-ArtificialGraphite,38011000,Import,U S A,1.85,833639.0,6.085526315789474
2019-2020,Graphite-ArtificialGraphite,38011000,Import,AUSTRALIA,0.02,31213.0,0.07852375343541422
2019-2020,Graphite-ArtificialGraphite,38011000,Import,AUSTRIA,0.0,2000.0,0.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BAHARAIN IS,0.0,15000.0,0.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BELGIUM,0.02,5457.0,0.07852375343541422
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BHUTAN,0.01,25000.0,0.03926187671770711
2019-2020,Graphite-ArtificialGraphite,38011000,Import,BRAZIL,0.0,1.0,0.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,CANADA,0.01,36.0,0.03926187671770711
2019-2020,Graphite-ArtificialGraphite,38011000,Import,CHINA P RP,14.68,18414804.0,57.63643502159403
2019-2020,Graphite-ArtificialGraphite,38011000,Import,DENMARK,0.0,3000.0,0.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,EGYPT A RP,,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,FRANCE,2.28,373328.0,8.95170789163722
2019-2020,Graphite-ArtificialGraphite,38011000,Import,GERMANY,0.52,183976.0,2.0416175893207695
2019-2020,Graphite-ArtificialGraphite,38011000,Import,HONG KONG,0.17,201405.0,0.6674519042010209
2019-2020,Graphite-ArtificialGraphite,38011000,Import,INDONESIA,0.01,20000.0,0.03926187671770711
2019-2020,Graphite-ArtificialGraphite,38011000,Import,ITALY,0.12,37800.0,0.47114252061248524
2019-2020,Graphite-ArtificialGraphite,38011000,Import,JAPAN,2.67,340644.0,10.482921083627797
2019-2020,Graphite-ArtificialGraphite,38011000,Import,KOREA RP,0.31,27995.0,1.2171181782489204
2019-2020,Graphite-ArtificialGraphite,38011000,Import,MALAYSIA,0.27,868040.0,1.0600706713780919
2019-2020,Graphite-ArtificialGraphite,38011000,Import,MEXICO,0.0,227.0,0.0
2019-2020,Graphite-ArtificialGraphite,38011000,Import,NETHERLAND,0.1,27027.0,0.3926187671770711
2019-2020,Graphite-ArtificialGraphite,38011000,Import,NORWAY,2.52,3090500.0,9.893992932862192
2019-2020,Graphite-ArtificialGraphite,38011000,Import,OMAN,,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,POLAND,0.07,13107.0,0.2748331370239498
2019-2020,Graphite-ArtificialGraphite,38011000,Import,SINGAPORE,,,
2019-2020,Graphite-ArtificialGraphite,38011000,Import,SPAIN,0.01,248.0,0.03926187671770711
2019-2020,Graphite-ArtificialGraphite,38011000,Import,SWEDEN,0.1,35000.0,0.3926187671770711
2019-2020,Graphite-ArtificialGraphite,38011000,Import,SWITZERLAND,0.15,27745.0,0.5889281507656066
